私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
あーあー、今日はとても疲れた。;あー あー、きょう は とても つかれた。;Ah-ah, I'm so tired today.;あーあー	アーアー	yawning	onomatopoeia	human noises
赤ちゃんはお腹が空いて泣くとき、あーんと大きな声をあげます。;あかちゃん は おなか が すいて なく とき 、 あーん と おおきな こえ を あげます。;When the baby is hungry and cries, they raise their voice saying 'ahhn'.;あーん	アーン	crying with the mouth open	emotions	crying
赤ちゃんがあーんと泣いている。;あかちゃん が あーん と ないている。;The baby is crying with an a-n sound.;あーん	アーン	crying	onomatopoeia	human noises
子供があーんあーんと泣き始めた。;こども が あーん あーん と ないきはじめた。;The child started crying, "Ahn ahn.";あーんあーん	アーンアーン	crying	onomatopoeia	human noises
彼は毎日あくせく働いて、休む暇がありません。;かれ は まいにち あくせく はたらいて、やすむ ひま が ありません。;He toils every day without a moment's break.;あくせく	アクセク	"toil, drudge, restlessly"	work attitude
彼はバスを見送るのを見て、バス停をあたふた走って向かった。;かれ は ばす を みおくる の を みて ばすてい を あたふた はしって むかった 。;Seeing the bus leave, he hurriedly ran towards the bus stop.;あたふた	アタフタ	hurriedly	action
彼は試験の前であたふたしていました。;かれ は しけん の まえ で あたふた していました。;He was flustered and panicky before the exam.;あたふた	アタフタ	"flustered, panicky"	mental state
あっという間に一年が過ぎた。;あっ という ま に いちねん が すぎた。;In the blink of an eye, a year has passed.;あっ	アッ	in the blink of an eye	temporal aspect
彼女は仕事のミスにもあっけらかんとしている。;かのじょ は しごと の みす に も あっけらかん と して いる。;She is indifferent even to her mistakes at work.;あっけらかん	アッケラカン	"indifference, calmth"	mental actions
このスープはあっさりしていておいしいです。;この すーぷ は あっさり して いて おいしい です。;This soup is light and delicious.;あっさり	アッサリ	"light, plain, simple"	flavour
その日は、私はあっさり仕事を辞めた。;その ひ は、わたし は あっさり しごと を やめた。;That day, I quit my job without a second thought.;あっさり	アッサリ	without second thought	performing an action
彼は試験にあっさり合格した。;かれ は しけん に あっさり ごうかく した。;He passed the exam effortlessly.;あっさり	アッサリ	"simple and plain, light yet delicate"	to appear to be
彼は給料日前はいつもあっぷあっぷです。;かれ は きゅうりょうび まえ は いつも あっぷあっぷ です 。;He is always struggling to stay afloat financially before payday.;あっぷあっぷ	アップアップ	to struggle to stay afloat	money issues
彼は水泳の練習が激しすぎて、プールサイドに上がったときにあっぷあっぷしていた。;かれ は すいえい の れんしゅう が はげし すぎて、 プール サイド に あがった とき に あっぷ あっぷ していた。;He was gasping for air when he got out of the pool because his swimming practice was too intense.;あっぷあっぷ	アップアップ	gasping for air	onomatopoeia	human noises
彼は泳ぎながらあっぷあっぷしている。;かれ は およぎ ながら あっぷ あっぷ して いる。;He is gasping for air while swimming.;あっぷあっぷ	アップアップ	gasping for air	performing an action
彼は締め切りに追われて、あっぷあっぷしている。;かれ は しめきり に おわれて、あっぷあっぷ している。;He is struggling to stay afloat with the pressure of deadlines.;あっぷあっぷ	アップアップ	to struggle to stay afloat	work pressure
その光景が頭の中にありありと浮かんだ。;その こうけい が あたま の なか に ありあり と うかんだ。;The scene vividly came to my mind.;ありあり	アリアリ	to clearly see in one's mind's eye	mental actions	recollection
彼はその驚きの光景にあんぐりと口を開けた。;かれ は その おどろき の こうけい に あんぐり と くち を あけた。;He stared open-mouthed at the astonishing scene.;あんぐり	アングリ	"gazing open-mouthed, stunned"	facial expression	surprise
彼女はニュースを聞いて、びっくりしてあんぐりと口を開けた。;かのじょ は にゅーす を きいて、びっくりして あんぐり と くち を あけた。;She heard the news and was dumbfounded, her mouth wide open in astonishment.;あんぐり	アングリ	dumbfounded with the mouth wide open	mental state
二人の間にいざこざが起きて、話し合いは収拾がつかなくなった。;ふたり の あいだ に いざこざ が おきて、 はなしあい は しゅうしゅう が つかなくなった。;A conflict arose between the two, and the discussion became unmanageable.;いざこざ	イザコザ	"confused, in a state of turmoil"	resultant state
彼女は何かを隠している気がして、いじいじと彼の目を見ていた。;かのじょ は なにか を かくしている き が して、いじいじ と かれ の め を みていた。;She felt like she was hiding something and was looking at him with paranoid eyes.;いじいじ	イジイジ	paranoid	eye expressions
彼はいつもいじいじしていて、堂々と話せない。;かれ は いつも いじいじ していて どうどう と はなせない。;He is always in a down mood and can't speak confidently.;いじいじ	イジイジ	down	mood	down
彼はいつもいじいじしていて、人前で話すのが苦手だ。;かれ は いつも いじいじ していて、 ひとまえ で はなす の が にがて だ。;He is always introverted and timid, and struggles with speaking in front of people.;いじいじ	イジイジ	"introvert, timid"	personal traits
彼は新しいおもちゃを買いに行くのにいそいそとした。;かれ は あたらしい おもちゃ を かい に いく のに いそいそ と した。;He went eagerly to buy a new toy.;いそいそ	イソイソ	"eager, cheerful, lighthearted"	mood	happy
カフェで学生がいちゃいちゃしているのを見て、とても気まずかった。;かふぇ で がくせい が いちゃいちゃ している の を みて、とても きまずかった。;Seeing students flirting at the café made me feel very awkward.;いちゃいちゃ	イチャイチャ	"flirting, publically showing affection"	personal attitude	undesirable
忙しい日はよくイライラする。;いそがしい ひ は よく いらいら する。;On busy days, I often feel irritated.;いらいら	イライラ	"an irritating, irksome feeling (such as something stuck in the throat)"	feelings
彼女は渋滞でいらいらしていた。;かのじょ は じゅうたい で いらいら して いた。;She was irritated by the traffic jam.;いらいら	イライラ	"fret, irritated, edgy"	mood	nervous
犬がうーっと唸っている。;いぬ が うー っと うなって いる。;The dog is growling.;うーっ	ウーッ	growling	onomatopoeia	dog
狼が月に向かってうぉーんと遠吠えする。;おおかみ が つき に むかって うぉーん と とおぼえ する。;The wolf howls at the moon.;うぉーん	ウォーン	howling	onomatopoeia	wolf
彼はうかうかしていて財布を置き忘れてきた。;かれ は うかうか して いて さいふ を おきわすれて きた 。;He was off guard and forgot his wallet.;うかうか	ウカウカ	"be off guard, dreaming "	mental state	not with it
彼女はクリスマスプレゼントにうきうきしています。;かのじょ は クリスマス プレゼント に うきうき して います。;She is cheerfully excited for her Christmas presents.;うきうき	ウキウキ	"waiting cheerfully, expectantly, happy as a lark"	mood	happy
彼はいつも大事な決断の前にはうじうじしている。;かれ は いつも だいじ な けつだん の まえ に は うじうじ している 。;He always hesitates before making an important decision.;うじうじ	ウジウジ	"hesitating, waveringly"	mood	down
その男はいつもウジウジしているから、友達は何も決められない。;その おとこ は いつも うじうじ している から、 ともだち は なにも きめられない。;That man is always so indecisive, so his friends can't decide on anything.;うじうじ	ウジウジ	indecisive	personal traits
庭には蟻がうじゃうじゃいる。;にわ には あり が うじゃうじゃ いる。;There are ants swarming in the garden.;うじゃうじゃ	ウジャウジャ	swarming	performing an action
彼は試験が終わるまでうずうずしていた。;かれ は しけん が おわる まで うずうず していた。;He was itching with anticipation until the exam was over.;うずうず	ウズウズ	a burning desire to do something	emotions	urge
彼は冷たい水に飛び込む前に、うっと息を止めた。;かれ は つめたい みず に とびこむ まえ に、うっと いき を とめた。;He held his breath with a "ugh" before diving into the cold water.;うっ	ウッ	holding one's breath in	onomatopoeia	human noises
うっ、この牛乳は古いだ！;うっ, この ぎゅうにゅう は ふるい だ！;Ugh, this milk is old!;うっ	ウッ	"short groan, growl, expression of repulsion"	performing an action
彼はうっかり鍵を忘れてしまった。;かれ は うっかり かぎ を わすれて しまった。;He inadvertently forgot his keys.;うっかり	ウッカリ	inadvertently	action
彼はうっかりミスをしてしまった。;かれ は うっかり みす を して しまった。;He made a careless mistake.;うっかり	ウッカリ	carelessly	mental state	not with it
彼女の頬には、うっさらと涙が光っていました。;かのじょ の ほお には、うっさら と なみだ が ひかっていました。;Faint tears glistened on her cheeks.;うっさら	ウッサラ	faint tears	crying
彼のことをうっすら覚えている。;かれ の こと を うっすら おぼえて いる。;I faintly remember him.;うっすら	ウッスラ	faintly	mental actions	recollection
彼の声はうっすらと聞こえた。;かれ の こえ は うっすら と きこえた。;His voice was heard faintly.;うっすら	ウッスラ	"faintly, thinly"	resultant state
湖面にうっすりと霧がかかっていた。;こめん に うっすり と きり が かかって いた。;A thin mist faintly covered the surface of the lake.;うっすり	ウッスリ	"faintly, thinly"	resultant state
彼女は美しい花を見てうっとりしていた。;かのじょ は うつくしい はな を みて うっとり していた。;She was gazing at the beautiful flowers with a rapt stare.;うっとり	ウットリ	"rapt stare, captivated, enthralled"	eye expressions
彼女の歌声にうっとりと聞き入った。;かのじょ の うたごえ に うっとり と ききいった。;I listened in rapture to her singing voice.;うっとり	ウットリ	"in rapture, in extacy"	mental state
彼は授業中にうつらうつらしていた。;かれ は じゅぎょうちゅう に うつらうつら して いた。;He was dozing off during class.;うつらうつら	ウツラウツラ	"drowsy, half asleep, dazed"	body function	sleep
彼はバスの中でうとうとしていた。;かれ は ばす の なか で うとうと していた。;He was dozing off on the bus.;うとうと	ウトウト	"to doze off, nod off"	body function	sleep
川は山を越えてうねうねと流れている。;かわ は やま を こえて うねうね と ながれている。;The river winds and meanders past the mountains.;うねうね	ウネウネ	"winding, meandering"	shape
彼女はおかしな話を聞いて、うふふと笑いました。;かのじょ は おかしな はなし を きいて 、 うふふ と わらいました 。;She listened to the funny story and chuckled softly.;うふふ	ウフフ	"involuntary, subdued chuckle"	laughter
彼の話を聞いている間、私はうまうまとしていました。;かれ の はなし を きいている あいだ、わたし は うまうま としていました。;While listening to his story, I was completely taken in.;うまうま	ウマウマ	to be completely taken in 	mental state	not with it
虫が森の中でうようよ動いている。;むし が もり の なか で うようよ うごいている。;In the forest, insects are squirming in masses.;うようよ	ウヨウヨ	a squirming mass	performing an action
今日は、うらうらとした天気で、太陽の光が心地よい。;きょう は、うらうら と した てんき で、たいよう の ひかり が ここちよい。;Today, the weather is refreshingly bright, and the sunlight is pleasant.;うらうら	ウラウラ	refreshingly bright	weather	sunlight
彼は駅の周りをうろうろしていました。;かれ は えき の まわり を うろうろ していました。;He was loitering around the station.;うろうろ	ウロウロ	loitering	performing an action
赤ちゃんがもうお母さんを去らないでとウワーンと泣いている。;あかちゃん が もう おかあさん を さ らないで と うわーん と ないて いる。;The baby is crying "Waah" as if to say, "Don't leave, mommy.";うわーん	ウワーン	crying	onomatopoeia	human noises
彼女は私にうんとうなずいた。;かのじょ は わたし に うん と うなずいた。;She nodded in understanding to me.;うん	ウン	nodding in understanding	performing an action
彼は痛みにうんうんと苦しんでいた。;かれ は いたみ に うんうん と くるしんでいた。;He was groaning with pain and agonizing.;うんうん	ウンウン	"groaning with pain, to agonise"	body function
彼は重たい荷物を持ち上げる間、うんうんと言っていた。;かれ は おもたい にもつ を もちあげる あいだ、うんうん と いっていた。;He was groaning 'un un' while lifting the heavy luggage.;うんうん	ウンウン	groaning	onomatopoeia	human noises
彼女は私の話を聞きながら、うんうんと頷いていた。;かのじょ は わたし の はなし を ききながら、うんうん と うなずいていた。;She was nodding repeatedly while listening to my story.;うんうん	ウンウン	nodding in agreement repeatedly	performing an action
彼はこの退屈な仕事にうんぎりしている。;かれ は この たいくつ な しごと に うんぎり して いる。;He is fed up with this boring job.;うんぎり	ウンギリ	"fed up, tired of"	mental state
彼の自慢話にはもううんざりだ。;かれ の じまんばなし に は もう うんざり だ。;I'm fed up with his bragging.;うんざり	ウンザリ	be weary of something	mental state
ええ、私は映画が好きです。;ええ、わたし は えいが が すき です。;Yes, I like movies.;ええ	エエ	yes (less formal version of はい)	speech
彼は大きな荷物を持って、えっちゃらおちゃら歩いていた。;かれ は おおき な にもつ を もって、えっちゃらおちゃら あるいて いた。;He was walking unsteadily while carrying a big luggage.;えっちゃらおちゃら	エッチャラオチャラ	unsteady	performing an action	walking
彼は山のてっぺんまで、えっちらおっちら登りました。;かれ は やま の てっぺん まで、えっちらおっちら のぼりました。;He labored his way to the top of the mountain.;えっちらおっちら	エッチラオッチラ	"laborious, struggling against something"	action
彼は山のいけいけな道をえっちらおっちら登っていった。;かれ は やま の いけいけ な みち を えっちらおっちら のぼって いった。;He climbed up the steep mountain path unsteadily.;えっちらおっちら	エッチラオッチラ	unsteady	performing an action	walking
先生は、注意を引くために「えへん」と咳払いをした。;せんせい は、ちゅうい を ひく ため に 「えへん」 と せきばらい を した。;The teacher cleared his throat with a 'ehem' to get everyone's attention.;えへん	エヘン	clearing the throat	onomatopoeia	human noises
彼は映画の結末に感動しておいおい泣いてしまった。;かれ は えいが の けつまつ に かんどう して おいおい ないて しまった。;He was so moved by the film's ending that he ended up wailing uncontrollably.;おいおい	オイオイ	"wailing, blubbering"	emotions	crying
彼はおいおいと泣き始めた。;かれ は おいおい と なき はじめた。;He started crying loudly.;おいおい	オイオイ	crying	onomatopoeia	human noises
赤ちゃんがベッドの上でおぎゃーおぎゃーと泣いている。;あかちゃん が べっど の うえ で おぎゃー おぎゃー と ないて いる。;The baby is crying loudly on the bed.;おぎゃーおぎゃー	オギャーオギャー	crying	onomatopoeia	human noises
彼はおずおずと質問した。;かれ は おずおず と しつもん した。;He asked the question hesitantly.;おずおず	オズオズ	"timid, hesitant"	mental state
彼女は試験の時に質問の答えがわからなくて、おたおたしていた。;かのじょ は しけん の とき に しつもん の こたえ が わからなくて、 おたおたしていた。;She was disconcerted during the test because she didn't know the answers to the questions.;おたおた	オタオタ	"disconcerted, flurried, confused"	mental state
心配事が多くて、落ち落ち眠れない。;しんぱい こと が おおくて、おちおち ねむれない。;I have so many worries that I'm unable to sleep peacefully.;おちおち	オチオチ	"unable to sleep due to worries, used with a negative verb"	mood	nervous
彼女はおっとりした表情で、優雅に微笑んだ。;かのじょ は おっとり した ひょうじょう で、ゆうが に ほほえんだ。;She smiled gracefully with a calm and poised expression.;おっとり	オットリ	"calm, poised"	facial expression
彼の性格はおっとりしていて、どんな状況でも動じません。;かれ の せいかく は おっとり して いて、 どんな じょうきょう でも どうじません。;His personality is dignified and even-tempered, and he remains calm in any situation.;おっとり	オットリ	"dignified, even-tempered, stoic"	personal traits
彼は初めての発表でおどおどしていた。;かれ は はじめて の はっぴょう で おどおど して いた。;He was timorous during his first presentation.;おどおど	オドオド	"timorous, at a loss (through insecurity)"	mental state
彼はおめおめ部長のポジションを降りた。;かれ は おめおめ ぶちょう の ぽじしょん を おりた。;He stepped down from his position as manager in unbearable shame.;おめおめ	オメオメ	"unbearable disgrace, unbearable shame"	emotions	shame
彼は試験に落ちて、おろおろしていた。;かれ は しけん に おちて、おろおろ して いた。;He was confused and worried after failing the exam.;おろおろ	オロオロ	"confused, worried, not knowing what to do"	mental state
赤ちゃんはおんおんと泣き始めた。;あかちゃん は おんおん と なきはじめた 。;The baby started crying loudly.;おんおん	オンオン	cry loudly	emotions	crying
赤ちゃんがオンオン泣いています。;あかちゃん が おんおん な いて います。;The baby is crying loudly.;おんおん	オンオン	crying	onomatopoeia	human noises
カラスが空でカーカーと鳴いています。;からす が そら で かーかー と ないて います。;The crow is cawing in the sky.;かーかー	カーカー	caw	onomatopoeia	crow
アヒルは池の周りでガーガー鳴いている。;あひる は いけ の まわり で がーがー ないて いる。;The duck is quacking around the pond.;がーがー	ガーガー	quack	onomatopoeia	duck
昨日の試合結果を聞いて、彼はかーっとなってしまった。;きのう の しあい けっか を きいて、かれ は かーっ と なって しまった。;Upon hearing the results of yesterday's match, he completely blew his top.;かーっ	カーッ	to completely blow one's top	emotions	anger
このカレーは、かーっカーッと辛いです。;この かれー は 、 かーっ カーッ と からい です。;This curry is hot and spicy.;かーっ	カーッ	hot (spicy)	flavour
教会の鐘がかーんとかまびすしい音を立てた。;きょうかい の かね が かーん と かまびすしい おと を たてた。;The church bell clanged loudly.;かーん	カーン	"""clang"""	onomatopoeia	bells
鉄が当たると、かーんという音が響きました。;てつ が あたる と、 かーん と いう おと が ひびき ました。 ;When the metal was struck, a clanging sound echoed.;かーん	カーン	clanging	onomatopoeia
彼の話を聞いて、私はがーんとショックを受けた。;かれ の はなし を きいて、わたし は がーん と しょっく を うけた。;Upon hearing his story, I was hit with a shock, like being struck by an anvil.;がーん	ガーン	hit in like an anvil	mental state
寒さで体ががくがく震えた。;さむさ で からだ が がくがく ふるえた。;My body shivered from the cold.;がくがく	ガクガク	"shiver, shake"	feelings
今日のテーブルはがくがくしているので、気をつけてください。;きょう の てーぶる は がくがく している ので、 き を つけてください。;The table is wobbly today, so please be careful.;がくがく	ガクガク	"wobbly, loose"	structure
彼は膝がふとがくっと折れた。;かれ は ひざ が ふと がくっ と おれた。;He suddenly twisted his knee with a jerk.;がくっ	ガクッ	twist/bend with a jerk	motions
彼の失敗を聞いて、彼女の顔ががくりと下を向いた。;かれ の しっぱい を きいて、かのじょ の かお が がくり と した を むいた。;Upon hearing of his failure, her face drooped with discouragement.;がくり	ガクリ	to lose heart	mood	down
彼はがくりと肩を落として、そばを食べ始めた。;かれ は がくり と かた を おとして、そば を たべ はじめた。;He let his shoulders droop and began eating soba.;がくり	ガクリ	drooping	performing an action	eating
彼は椅子からがくりと落ちた。;かれ は いすからがくり と おちた。;He abruptly fell from the chair.;がくり	ガクリ	"abruptly, suddenly"	performing an action	falling
電車が急に止まって、体がカクンと揺れた。;でんしゃ が きゅうに とまって、からだ が かくん と ゆれた。;The train stopped suddenly, and my body jolted.;かくん	カクン	"jolting, jerking"	motions
彼はテストの結果を聞いてがくんとした。;かれ は てすと の けっか を きいて がくん と した。;He lost heart after hearing the test results.;がくん	ガクン	to lose heart	mood	down
庭の大木が、突然の嵐でがくんと倒れてしまった。;にわ の たいぼく が、 とつぜん の あらし で がくん と たおれて しまった。;The large tree in the garden fell apart with a sudden crash during the storm.;がくん	ガクン	fall apart	motions	desintegrate
彼のひざが急にがくんと折れた。;かれ の ひざ が きゅう に がくん と おれた。;His knee suddenly buckled.;がくん	ガクン	twist/bend with a jerk	motions
