大きな石が地面にどしっと落ちた。;おおきな いし が じめん に どしっと おちた。;A large rock fell to the ground with a thud.;どしっ	ドシッ	thudding	onomatopoeia
太った猫がソファにどしっと座った。;ふとった ねこ が ソファ に どしっと すわった。;The fat cat plopped down onto the sofa with a thud.;どしっ	ドシッ	sitting down with a thud	performing an action	sitting
応募をどしどし送ってください。;おうぼ を どしどし おくって ください。;Please send in applications steadily.;どしどし	ドシドシ	"steadily, in number"	motions
彼はドシドシと階段を上がってきた。;かれ は どしどし と かいだん を あがってきた。;He thumped his way up the stairs.;どしどし	ドシドシ	thumping	onomatopoeia
彼はどしどし歩いて家に帰った。;かれ は どしどし あるいて いえ に かえった。;He walked home, stomping his feet.;どしどし	ドシドシ	stomping	performing an action	walking
雨がどしゃどしゃと降っている。;あめ が どしゃどしゃ と ふって いる。;The rain is pelting down.;どしゃどしゃ	ドシャドシャ	pelting	onomatopoeia
雨がどしゃどしゃ降っている。;あめ が どしゃどしゃ ふっている。;The rain is pouring down heavily.;どしゃどしゃ	ドシャドシャ	pelting	weather	rain
重い荷物が地面に落ちたとき、どしんという音がした。;おもい にもつ が じめん に おちた とき、どしん という おと が した。;When the heavy luggage fell on the ground, there was a thudding sound.;どしん	ドシン	thudding	onomatopoeia
ソファにどしんと座った。;そふぁ に どしん と すわった。;I sat down on the sofa with a thud.;どしん	ドシン	sitting down with a thud	performing an action	sitting
ゾウはどしんどしんと歩きました。;ぞう は どしんどしん と あるきました。;The elephant walked with a thumping sound.;どしんどしん	ドシンドシン	thumping	onomatopoeia
象がどしんどしんと歩いている。;ぞう が どしん どしん と あるいている。;An elephant is stomping heavily as it walks.;どしんどしん	ドシンドシン	stomping (heavier steps than どしどし)	performing an action	walking
大きな箱が床に落ちたとき、「ドスッ」という音がした。;おおき な はこ が ゆか に おちた とき、 「ドスッ」という おと が した。;When the big box fell to the floor, it made a "thumping" sound.;どすっ	ドスッ	thumping	onomatopoeia
彼は階段をドスドス駆け上がった。;かれ は かいだん を どすどす かけあがった。;He thumped up the stairs.;どすどす	ドスドス	thumping	onomatopoeia
大砲の音がどすんと響いた。;たいほう の おと が どすん と ひびいた。;The sound of the cannon boomed.;どすん	ドスン	"""boom"""	onomatopoeia	firing guns
大きな石が地面に落ちると、どすんと音がした。;おおきな いし が じめん に おちる と、どすん と おと が した。;When the big stone fell to the ground, there was a thumping sound.;どすん	ドスン	thumping	onomatopoeia
象がどすんどすんと歩いている。;ぞう が どすんどすん と あるいている。;The elephant is walking with loud thumping sounds.;どすんどすん	ドスンドスン	thumping	onomatopoeia
彼は石を地面に置くと、ドダーッと大きな音がしました。;かれ は いし を じめん に おく と、 どだーっ と おおきな おと が しました。;When he placed the rock on the ground, there was a loud 'thud' sound.;どだーっ	ドダーッ	dropping something heavy	performing an action
ソファーにドタッと座った。;そふぁー に どたっ と すわった。;He plopped down on the sofa.;どたっ	ドタッ	plopping down	performing an action	falling
彼はソファにドダッと座った。;かれ は そふぁ に どだっ と すわった。;He plopped down on the sofa.;どだっ	ドダッ	plopping down	performing an action	falling
彼は大きな箱を落とすと、どだっと大きな音がした。;かれ は おおき な はこ を おとす と、 どだっと おおきな おと が した。;When he dropped the big box, it made a loud 'dodat' sound.;どだっ	ドダッ	dropping something heavy	performing an action
彼が階段をどたどたと上がってきた。;かれ が かいだん を どたどた と あがってきた。;He scrambled up the stairs loudly.;どたどた	ドタドタ	scrambling	onomatopoeia
彼は朝の出勤のためにどたばたと準備をしました。;かれ は あさ の しゅっきん の ため に どたばた と じゅんび を しました。;He scrambled around in the morning to get ready for work.;どたばた	ドタバタ	scrambling	onomatopoeia
